ACCN,Cur_CRSP2ID_int
113130042,C.86.4.37.043
113140129,C.24.4.34.007
113140153,C.27.4.3.028
113140160,C.73.4.75.005
113150076,C.09.4.13.006
113150120,C.69.4.20.006
113150122,C.69.4.95.004
113150123,C.04.4.19.009
113150161,C.73.7.134.011
113150192,C.73.7.134.011
113160160,C.69.4.16.013
113170110,C.56.4.41.020
113180127,C.27.4.12.015
113190127,C.27.4.60.009
113190221,C.27.4.152.029
113190228,C.56.4.4.029
113200105,C.27.4.15.019
113200133,C.27.4.27.005
113200155,C.27.4.1.024
113210035,C.25.4.17.013
113210065,C.27.4.8.003
113210111,C.27.4.31.004
113220017,C.73.4.49.005
113220141,C.56.4.17.002
113230179,C.27.4.66.005
113230267,C.27.4.19.051
113230289,C.27.4.3.021
113230292,C.27.4.81.015
113240109,C.27.4.61.054
113240180,C.13.4.14.009
113240190,C.27.4.15.063
113240195,C.27.4.30.005
113240206,C.27.4.15.063
113240325,C.27.4.12.038
113240330,C.69.4.3.009
113240337,C.73.4.4.001
113240345,C.86.4.6.014
113240346,C.86.4.37.050
113240360,C.86.7.117.003
113240368,C.86.4.39.039
113240449,C.27.4.39.005
113250009,C.73.4.1.003
113250015,C.69.4.5.007
113250046,C.04.4.15.014
113250071,C.27.4.23.002
113250088,C.18.4.49.004
113250127,C.56.4.14.015
113250129,C.09.4.13.007
113250142,C.27.4.3.028
113250147,C.27.4.25.003
113250163,C.18.4.10.023
113250179,C.56.4.35.004
113250206,C.69.4.4.010
113250256,C.27.4.101.010
113250499,C.69.7.422.034
113270017,C.73.4.1.001
113270041,C.73.4.9.001
113270046,C.73.4.9.001
113270053,C.73.4.41.014
113270061,C.56.4.12.001
113270089,C.27.4.101.009
113270133,C.56.4.1.009
113280009,C.73.4.4.012
113280016,C.27.4.81.015
113280077,C.27.4.110.018
113290017,C.69.7.196.003
113300013,C.69.4.91.006
113310021,C.25.4.5.033
113310047,C.69.4.84.005
113320017,C.18.7.133.003
113320081,C.43.4.7.011
113320096,C.27.4.152.028
113330023,C.86.4.37.009
113330077,C.69.4.66.018
113340033,C.73.4.17.015
113340121,C.27.4.101.020
113350136,C.27.4.9.024
113350154,C.24.4.35.008
113350171,C.27.4.12.009
113360045,C.55.4.22.015
113360071,C.27.4.8.006
113360073,C.43.4.7.010
113360157,C.69.4.90.001
113360189,C.69.4.5.024
113370043,C.55.4.4.006
113370056,C.55.4.6.001
113370105,C.55.4.8.008
113370137,C.27.4.112.010
113370161,C.27.4.19.002
113370164,C.27.4.52.006
113370286,C.27.4.19.052
113380011,C.25.4.6.002
113380016,C.27.4.19.008
113380044,C.09.7.151.005
113380085,C.25.4.7.009
113380089,C.86.4.37.039
113380090,C.27.4.15.041
113380098,C.25.4.18.005
113380123,C.86.4.39.038
113380141,C.27.4.92.001
113380198,C.27.4.6.024
113380205,C.69.4.91.001
113380218,C.27.4.110.002
113390023,C.27.4.19.037
113390035,C.27.4.152.001
113390071,C.27.4.48.001
113390086,C.43.4.12.003
113390093,C.47.4.1.005
113390141,C.27.4.152.026
113390153,C.27.4.101.018
113390345,C.73.4.51.004
